"city_id","country_id"
1,87
2,82
3,101
4,60
5,97
6,31
7,107
8,44
9,44
10,50
11,103
12,101
13,82
14,11
15,89
16,82
17,49
18,44
19,60
20,6
21,15
22,44
23,67
24,44
25,15
26,15
27,22
28,15
29,67
30,15
31,46
32,77
33,103
34,48
35,98
36,48
37,73
38,39
39,80
40,60
41,103
42,103
43,6
44,15
45,6
46,23
47,23
48,10
49,80
50,97
51,44
52,19
53,16
54,37
55,104
56,91
57,48
58,97
59,2
60,18
61,75
62,75
63,2
64,63
65,103
66,15
67,4
68,62
69,69
70,49
71,44
72,91
73,44
74,44
75,44
76,44
77,44
78,44
79,29
80,23
81,66
82,75
83,15
84,15
85,85
86,78
87,85
88,102
89,15
90,84
91,49
92,34
93,49
94,103
95,78
96,24
97,76
98,75
99,74
100,105
101,103
102,104
103,60
104,75
105,35
106,60
107,44
108,92
109,23
110,44
111,106
112,85
113,86
114,92
115,61
116,92
117,45
118,45
119,45
120,103
121,41
122,73
123,103
124,60
125,60
126,103
127,22
128,6
129,60
130,60
131,60
132,104
133,76
134,72
135,103
136,23
137,54
138,75
139,23
140,103
141,69
142,97
143,12
144,44
145,23
146,87
147,24
148,38
149,102
150,80
151,67
152,69
153,14
154,60
155,103
156,80
157,23
158,67
159,23
160,38
161,6
162,46
163,97
164,44
165,6
166,23
167,36
168,92
169,44
170,24
171,103
172,50
173,99
174,23
175,23
176,44
177,103
178,103
179,20
180,97
181,87
182,75
183,15
184,45
185,103
186,9
187,103
188,60
189,15
190,15
191,44
192,75
193,23
194,105
195,44
196,20
197,44
198,38
199,23
200,68
201,105
202,60
203,50
204,50
205,50
206,107
207,23
208,44
209,92
210,23
211,44
212,60
213,60
214,74
215,15
216,29
217,69
218,69
219,75
220,69
221,75
222,97
223,59
224,50
225,80
226,50
227,50
228,50
229,50
230,88
231,44
232,45
233,53
234,12
235,80
236,76
237,82
238,80
239,44
240,23
241,23
242,23
243,44
244,85
245,103
246,60
247,15
248,15
249,23
250,60
251,1
252,69
253,50
254,80
255,76
256,50
257,44
258,100
259,80
260,50
261,44
262,103
263,44
264,44
265,46
266,97
267,85
268,86
269,81
270,80
271,52
272,109
273,85
274,80
275,100
276,50
277,23
278,80
279,42
280,108
281,97
282,59
283,44
284,50
285,80
286,80
287,50
288,60
289,6
290,27
291,23
292,103
293,23
294,75
295,103
296,91
297,34
298,23
299,23
300,20
301,45
302,23
303,54
304,58
305,74
306,103
307,9
308,80
309,49
310,80
311,28
312,102
313,20
314,76
315,25
316,92
317,15
318,45
319,57
320,80
321,90
322,103
323,75
324,72
325,38
326,104
327,72
328,15
329,71
330,60
331,50
332,23
333,103
334,6
335,60
336,44
337,29
338,50
339,13
340,13
341,60
342,64
343,80
344,47
345,100
346,44
347,93
348,25
349,64
350,44
351,63
352,80
353,62
354,44
355,50
356,46
357,86
358,94
359,105
360,4
361,92
362,23
363,21
364,85
365,60
366,105
367,80
368,108
369,80
370,95
371,40
372,52
373,104
374,69
375,72
376,50
377,50
378,26
379,89
380,50
381,69
382,50
383,20
384,97
385,100
386,50
387,33
388,87
389,69
390,69
391,75
392,85
393,60
394,94
395,44
396,45
397,36
398,44
399,44
400,44
401,39
402,51
403,45
404,103
405,24
406,18
407,23
408,80
409,76
410,15
411,77
412,45
413,15
414,28
415,45
416,44
417,44
418,44
419,45
420,70
421,29
422,23
423,46
424,6
425,44
426,44
427,44
428,22
429,44
430,20
431,15
432,23
433,103
434,28
435,103
436,17
437,85
438,67
439,38
440,50
441,103
442,79
443,62
444,71
445,60
446,103
447,9
448,44
449,103
450,27
451,60
452,60
453,73
454,6
455,107
456,15
457,6
458,75
459,87
460,27
461,15
462,23
463,50
464,44
465,29
466,80
467,46
468,23
469,23
470,101
471,23
472,72
473,44
474,50
475,44
476,29
477,38
478,44
479,100
480,24
481,46
482,97
483,2
484,80
485,15
486,15
487,24
488,69
489,94
490,15
491,85
492,96
493,5
494,102
495,102
496,102
497,85
498,17
499,103
500,102
501,14
502,23
503,74
504,97
505,10
506,100
507,59
508,103
509,45
510,80
511,49
512,43
513,93
514,46
515,82
516,3
517,75
518,107
519,75
520,103
521,50
522,44
523,75
524,6
525,12
526,92
527,75
528,75
529,97
530,30
531,80
532,45
533,48
534,63
535,23
536,23
537,23
538,97
539,86
540,23
541,60
542,92
543,34
544,34
545,32
546,92
547,50
548,75
549,76
550,44
551,49
552,50
553,86
554,44
555,50
556,60
557,97
558,80
559,44
560,55
561,104
562,104
563,60
564,44
565,20
566,44
567,6
568,44
569,15
570,56
571,105
572,15
573,103
574,23
575,38
576,8
577,76
578,23
579,23
580,23
581,23
582,44
583,65
584,23
585,19
586,7
587,23
588,23
589,102
590,23
591,23
592,23
593,93
594,23
595,60
596,69
597,80
598,51
599,23
600,83
